Date,GOES_class,Start_time,End_time,Instrument,Wavelength,dBIC_0v1,dBIC_0v2,dBIC_2v1,Detection,rchi2_m0,probability_m0,rchi2_m1,probability_m1,rchi2_m2,probability_m2,period,width,Flags
20110209,M1.9,012301,013458,GOES,1-8A,15.35934,6.981278,8.378071,No,1.1296560507611295,0.2579418404324223,0.91827335294486023,0.62347889623039887,0.96589978206011085,0.53470425191710713,11.1,0.25,[]
20110213,M6.6,172801,174659,GOES,1-8A,18.73148,8.143312,10.58816,Yes,1.2084411874526217,0.11426354592529409,1.1173840099728503,0.23664069576703206,1.0940567595606707,0.27737804226692475,11.6,0.25,[]
20110214,M2.2,172001,173158,GOES,1-8A,36.21059,27.24444,8.966150,No,1.1492183723474438,0.23177149617329196,1.0174478472082193,0.4394934063582312,0.91984851197471884,0.6210679910255501,10.7,0.25,[]
20110215,X2.2,014401,020558,GOES,1-8A,104.5914,45.46417,59.12727,Yes,1.6782385635943617,0.00014284064867638009,1.2837568992376751,0.045514014018832469,1.4799562887618067,0.0035606101025270737,20.8,0.24999999993960884,"['B0', 'B2']"
20110216,M1.0,013200,014558,GOES,1-8A,10.37773,12.00440,-1.62667,No,0.93218724530050145,0.61102751335229433,0.80182331780701688,0.83998596586469665,0.88984767742688753,0.69323166663875113,15.1,0.24813010080379025,[]
20110216,M1.1,073500,075458,GOES,1-8A,-1.53546,12.77081,-14.3062,No,1.0056340072545429,0.46444885038041794,0.95904228389846724,0.57646960230734667,0.87463795650887943,0.76728320454425791,,,[]
20110216,M1.6,141900,142858,GOES,1-8A,-9.14222,-8.11844,-1.02377,No,0.58919591363667234,0.9762036398646341,0.59413582241678708,0.97312897601253123,0.55409218293155726,0.98545897399093496,,,[]
20110218,M6.6,095501,101459,GOES,1-8A,116.7748,79.47675,37.29811,Yes,1.034551057429631,0.39707750908342149,0.71312685605842863,0.96855295917532946,0.95055789317102934,0.59710614701275488,9.2,0.25,[]
20110218,M1.0,102300,103657,GOES,1-8A,-8.85585,-9.23575,0.379899,No,0.80464828905714014,0.83804500368478585,0.74878176776837835,0.90459044941098488,0.79006526424628221,0.85672362145183079,,,[]
20110218,M1.4,125901,130559,GOES,1-8A,-4.53351,-2.59487,-1.93864,No,0.88066779070538159,0.63477978766921572,0.73594445159897315,0.82057185037302038,0.74923842762189885,0.80689626949649562,,,[]
20110218,M1.0,140001,141458,GOES,1-8A,44.66601,50.47135,-5.80534,No,1.468625900164964,0.013890206247632228,1.2392373741188583,0.11240938883195289,0.99471967742486367,0.48525775722746101,15.8,0.25,[]
20110218,M1.3,205602,211359,GOES,1-8A,35.04631,14.35526,20.69105,Yes,1.3652208242589929,0.026664712197424504,1.0293252871776257,0.41156025729915285,1.2669803306657026,0.072265184445664779,18.2,0.25,[]
